Country Name,Country Code,2010,2011,2012,2013,2014
Afghanistan,AFG,0.293836994,0.412016938,0.350370581,0.315601773,0.299444991
Albania,ALB,1.578573584,1.803714725,1.692908325,1.749211079,1.978763312
Algeria,DZA,3.299703688,3.291376176,3.46026581,3.507310029,3.717409901
Andorra,AND,6.122594702,5.867129945,5.916596911,5.900752587,5.832169951
Angola,AGO,1.243405585,1.252789255,1.330843018,1.254617218,1.291328315
Antigua and Barbuda,ATG,5.539567509,5.363407474,5.418446532,5.360453467,5.377648546
Argentina,ARG,4.558499612,4.600290699,4.569383676,4.462903755,4.746797455
Armenia,ARM,1.465621895,1.710070765,1.976060074,1.899711734,1.90275891
Aruba,ABW,24.67052887,24.5058352,13.15554169,8.351294252,8.408362638
Australia,AUS,17.74084505,17.53887776,17.06614082,16.08347439,15.37013776
Austria,AUT,8.071131802,7.748134305,7.387077163,7.368748145,6.86986793
Azerbaijan,AZE,3.388225879,3.646179877,3.82487717,3.785068836,3.931560609
"Bahamas, The",BHS,4.583343495,5.091832893,5.292937031,7.426540134,6.323257512
Bahrain,BHR,23.5854809,22.41333475,20.51485098,23.80435697,23.44975483
Bangladesh,BGD,0.393936699,0.412011186,0.433487963,0.442400828,0.459141965
Barbados,BRB,5.285997375,5.449513722,5.222107001,5.127146392,4.490177673
Belarus,BLR,6.64269666,6.762517349,6.67999159,6.736652251,6.701957705
Belgium,BEL,10.17146522,9.046560547,8.546478214,8.671352487,8.328159898
Belize,BLZ,1.676105694,1.82686092,1.415825911,1.491598897,1.407601494
Benin,BEN,0.553283259,0.559693354,0.562347006,0.580960914,0.614213852
Bermuda,BMU,9.347122413,6.872359209,7.356862866,7.051814587,8.838314988
Bhutan,BTN,0.67026322,0.990398509,1.086025018,1.203220818,1.289321371
Bolivia,BOL,1.532870644,1.602029322,1.835469055,1.818997383,1.932419499
Bosnia and Herzegovina,BIH,5.716134832,6.475389585,6.101280083,6.080813337,6.234719162
Botswana,BWA,2.325924404,2.036091061,2.025409285,2.456718254,3.243287637
Brazil,BRA,2.132937571,2.211587235,2.343570115,2.488417184,2.594388285
British Virgin Islands,VGB,6.330774317,6.30859109,6.1740503,6.057819383,6.072833581
Brunei Darussalam,BRN,21.10594553,24.60717794,24.18076388,19.23359197,22.12470124
Bulgaria,BGR,5.964900206,6.71538056,6.119456526,5.450695963,5.871615869
Burkina Faso,BFA,0.125717252,0.137496219,0.158663009,0.179132409,0.162018806
Burundi,BDI,0.024260032,0.02676196,0.030296973,0.03017577,0.044485376
Cabo Verde,CPV,1.109478009,1.212548739,0.984565517,0.958866077,0.933403237
