Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Albania,ALB,..,11199,26672,36083,32882,29020,19980,10957,6981,7557,7101
Algeria,DZA,639055,437379,100344,29957,31982,27410,26026,..,..,24862,27860
Angola,AGO,..,..,944110,1011340,1005390,955329,..,..,..,..,..
Antigua and Barbuda,ATG,..,..,1821,1905,2229,2435,2601,..,2601,2131,..
Argentina,ARG,..,18856,23364,23702,39581,36675,35053,27937,14149,11564,..
Aruba,ABW,..,147,79,348,94,..,..,..,59,..,..
Australia,AUS,37283,110185,62140,60011,55088,43011,45874,50066,58355,60306,69193
Azerbaijan,AZE,..,84704,84545,74675,78445,64313,53736,31378,25324,29661,27483
"Bahamas, The",BHS,..,..,461,1236,693,..,..,..,..,..,3740
Bahrain,BHR,..,1563,..,..,..,7944,7274,6394,4453,2143,2330
Bangladesh,BGD,4085120,..,1233122,1080983,841508,..,..,..,..,..,..
Barbados,BRB,597,1080,719,1393,1118,1460,..,..,1924,1680,1573
Belarus,BLR,..,..,..,27709,29700,31323,20276,24701,24686,20855,14400
Belgium,BEL,..,5964,15497,15967,17757,16957,14591,14473,15126,12285,..
Belize,BLZ,..,1417,1719,1335,929,1092,204,522,395,359,376
Benin,BEN,493668,..,139539,83737,75552,79068,70197,..,59913,..,..
Bermuda,BMU,..,..,..,..,..,585,797,..,..,..,..
Bhutan,BTN,..,48509,21654,16693,14323,13398,11524,12840,..,15606,17305
Bolivia,BOL,..,48467,68095,27528,60727,92053,139212,145344,148574,139989,126435
Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,41243,47336,43149,40816,..,..,21786,19812,33883,..,..
Brazil,BRA,..,..,197162,454365,..,535410,555203,949869,791344,771982,..
Brunei Darussalam,BRN,..,..,..,1129,..,..,1351,1031,1418,1437,1285
Bulgaria,BGR,..,11045,795,1639,1151,1201,5579,9255,10938,14045,18895
Burkina Faso,BFA,..,1197366,927974,886778,1044362,948902,945661,950308,941403,920171,761443
Burundi,BDI,..,686805,85850,109215,39646,..,..,..,..,..,..
Cabo Verde,CPV,435,303,7154,8048,8660,9202,8748,8906,8730,8646,9041
Cambodia,KHM,..,153905,102091,..,116680,45173,46721,..,89849,87658,137924
Cameroon,CMR,506850,..,403341,331455,..,290122,196915,..,185423,..,177737
Canada,CAN,108881,1972,..,..,..,..,11599,12074,13160,9007,863
Central African Republic,CAF,197727,..,239826,242852,230870,247359,232452,..,..,..,..
Chad,TCD,..,694944,..,..,..,801961,..,485829,..,..,..
Chile,CHL,..,..,76182,110057,102427,119543,127972,140140,137371,125240,105592
China,CHN,3037353,..,..,..,..,..,..,..,..,..,..
Colombia,COL,..,106326,151525,128625,113698,109545,229849,279437,309185,269465,250486
Comoros,COM,..,29428,..,..,..,..,..,14918,19819,..,..
"Congo, Rep.",COG,..,..,..,..,102428,..,90113,..,..,..,..
Costa Rica,CRI,52132,..,..,..,..,2463,2288,6558,15637,15018,13887
Cote d'Ivoire,CIV,..,1170440,..,1450923,..,..,..,1084851,938595,818619,461892
Croatia,HRV,..,12763,5425,16126,9545,5250,2485,2840,2705,2739,4007
Cuba,CUB,66700,19288,20793,1540,411,29,3133,3304,25824,33528,..
Cyprus,CYP,15643,1276,571,453,386,387,988,1358,1535,1176,..
Denmark,DNK,8299,7175,14377,14582,15110,10503,8179,6239,7545,6032,4537
Djibouti,DJI,68605,85757,52810,53770,..,45725,..,45540,37591,43528,46244
Dominica,DMA,..,155,853,222,..,..,..,..,..,..,117
Dominican Republic,DOM,..,181187,179779,61560,96251,108626,133202,149188,178906,142120,154709
Ecuador,ECU,..,51976,..,50026,58608,53970,59086,64921,34973,37441,33556
"Egypt, Arab Rep.",EGY,..,1218103,..,189378,103493,488303,332520,..,360955,..,154511
El Salvador,SLV,..,73268,34558,33456,31499,32552,38362,58750,75956,93456,102644
Equatorial Guinea,GNQ,..,25262,60281,64386,68143,69634,70697,..,..,84627,..
Eritrea,ERI,..,307673,268414,293426,316181,314551,313014,350503,361719,383685,..
Estonia,EST,..,1250,2733,2786,636,257,293,1296,4587,5280,..
Ethiopia,ETH,..,6436676,3296742,3454203,3820035,3290773,3152376,..,2154446,2221454,..
Fiji,FJI,..,5803,647,599,..,928,1285,2863,..,2030,..
Finland,FIN,..,1014,7748,7020,5893,4939,3068,3058,1991,2853,3139
France,FRA,1437,13247,31577,28182,27692,38428,44376,31408,30585,28369,..
"Gambia, The",GMB,70999,53146,71546,..,82111,85158,81095,95817,90228,83324,78791
Georgia,GEO,..,..,13559,14692,..,10384,5361,915,688,1054,1063
Germany,DEU,..,38,8098,9960,9473,9595,12422,5263,4777,5330,..
Ghana,GHA,..,1017959,884821,944675,..,667257,716870,541782,453623,395157,544370
Greece,GRC,79307,28561,..,..,40958,38660,36452,40327,49076,43505,..
Grenada,GRD,..,..,587,343,..,..,..,200,338,286,411
Guatemala,GTM,..,314831,110679,46051,59498,112895,182449,237111,280541,286107,298432
Guinea,GIN,659574,761149,522447,509574,479340,417249,433171,422168,362777,..,..
Guinea-Bissau,GNB,..,107130,..,..,66306,..,..,..,..,..,..
Guyana,GUY,..,..,2890,8093,4216,2290,4303,..,..,..,..
Honduras,HND,..,152859,124989,140002,139588,131055,172566,208319,209245,223848,201619
"Hong Kong SAR, China",HKG,..,..,..,..,..,..,2170,2691,3357,3934,5896
Hungary,HUN,..,16996,11711,9638,10511,13081,14969,15569,14741,14094,12152
Iceland,ISL,..,329,233,93,215,361,523,567,542,420,..
India,IND,23828518,19010656,3767825,5480851,4808268,5376054,3825445,2897747,..,..,..
Indonesia,IDN,973296,..,1003086,710062,537145,681642,1127807,1957061,2278461,..,2359548
"Iran, Islamic Rep.",IRN,621033,1258098,..,22508,16925,9176,19227,90884,30869,41355,..
Iraq,IRQ,..,431035,..,..,..,..,..,..,..,..,..
Ireland,IRL,51742,1086,1031,1775,1893,4400,2658,3141,4023,1733,..
Israel,ISR,..,13726,20496,23162,20272,23348,18622,22264,24359,20665,25499
Italy,ITA,..,6866,24549,23506,20740,28136,19215,15393,18816,27056,..
Jamaica,JAM,8700,24357,..,..,..,..,..,..,..,..,..
Japan,JPN,18037,171651,16694,13933,45382,56557,72890,92485,115680,80630,..
Jordan,JOR,..,59552,..,..,..,..,..,..,..,..,..
