CAT,Category,ACT,Activity,UNIT,Unit,VAR,Variable,SRC,Source,TIME,Time,Value,Flag Codes,Flags
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR92,Food Loss - Fresh Fruit,SOURCE13,Buzby & al. 2009,2005,2005,10.7,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR95USA,Food Loss - Fresh vegetables and salad,SOURCE13,Buzby & al. 2009,2005,2005,10.3,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,PCT,%,FWVAR106,Food Loss - Meat + poultry and fish,SOURCE13,Buzby & al. 2009,2005,2005,9.1,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR56,Food Loss,SOURCE14,"Buzby & al., 2011",2008,2008,19474.53501,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR64,Food Loss - Added fats and oils,SOURCE14,"Buzby & al., 2011",2008,2008,2463.006594,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR69,Food Loss - Added sweetners,SOURCE14,"Buzby & al., 2011",2008,2008,2067.474043,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR75,Food Loss - Dairy products,SOURCE14,"Buzby & al., 2011",2008,2008,4245.624625,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR81,Food Loss - Eggs,SOURCE14,"Buzby & al., 2011",2008,2008,395.5325506,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR86,Food Loss - Fish,SOURCE14,"Buzby & al., 2011",2008,2008,180.0761727,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR90,Food Loss - Fresh and processed Fruit,SOURCE14,"Buzby & al., 2011",2008,2008,2604.527414,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR91,Food Loss - Fresh and processed vegetables,SOURCE14,"Buzby & al., 2011",2008,2008,3123.437091,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR100,Food Loss - Grain products,SOURCE14,"Buzby & al., 2011",2008,2008,3252.710918,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR104,Food Loss - Meat,SOURCE14,"Buzby & al., 2011",2008,2008,667.2343829,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR106,Food Loss - Meat + poultry and fish,SOURCE14,"Buzby & al., 2011",2008,2008,1235.585628,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR115,Food Loss - Poultry,SOURCE14,"Buzby & al., 2011",2008,2008,388.2750726,,
FLFW,1. Food loss - Food waste,WHOLESALEANDRETAIL,Wholesale & Retail,MILLIONKG,Million kg,FWVAR128,Food Loss - Tree nuts and peanuts,SOURCE14,"Buzby & al., 2011",2008,2008,86.18255115,,
