Year,State,CoC Number,Measures,Count
1/1/12,AK,AK-500,Chronically Homeless,114
1/1/12,AK,AK-500,Chronically Homeless Individuals,113
1/1/12,AK,AK-500,Chronically Homeless People in Families,1
1/1/12,AK,AK-500,Homeless Individuals,791
1/1/12,AK,AK-500,Homeless People in Families,356
1/1/12,AK,AK-500,Homeless Veterans,174
1/1/12,AK,AK-500,Sheltered Chronically Homeless,109
1/1/12,AK,AK-500,Sheltered Chronically Homeless Individuals,108
1/1/12,AK,AK-500,Sheltered Chronically Homeless People in Families,1
1/1/12,AK,AK-500,Sheltered Homeless,"1,097"
1/1/12,AK,AK-500,Sheltered Homeless Individuals,756
1/1/12,AK,AK-500,Sheltered Homeless People in Families,341
1/1/12,AK,AK-500,Sheltered Homeless Veterans,167
1/1/12,AK,AK-500,Total Homeless,"1,147"
1/1/12,AK,AK-500,Unsheltered Chronically Homeless,5
1/1/12,AK,AK-500,Unsheltered Chronically Homeless Individuals,5
1/1/12,AK,AK-500,Unsheltered Chronically Homeless People in Families,0
1/1/12,AK,AK-500,Unsheltered Homeless,50
1/1/12,AK,AK-500,Unsheltered Homeless Individuals,35
1/1/12,AK,AK-500,Unsheltered Homeless People in Families,15
1/1/12,AK,AK-500,Unsheltered Homeless Veterans,7
1/1/12,AK,AK-501,Chronically Homeless,165
1/1/12,AK,AK-501,Chronically Homeless Individuals,160
1/1/12,AK,AK-501,Chronically Homeless People in Families,5
1/1/12,AK,AK-501,Homeless Individuals,507
1/1/12,AK,AK-501,Homeless People in Families,259
1/1/12,AK,AK-501,Homeless Veterans,82
1/1/12,AK,AK-501,Sheltered Chronically Homeless,154
1/1/12,AK,AK-501,Sheltered Chronically Homeless Individuals,149
1/1/12,AK,AK-501,Sheltered Chronically Homeless People in Families,5
1/1/12,AK,AK-501,Sheltered Homeless,619
1/1/12,AK,AK-501,Sheltered Homeless Individuals,401
1/1/12,AK,AK-501,Sheltered Homeless People in Families,218
1/1/12,AK,AK-501,Sheltered Homeless Veterans,60
1/1/12,AK,AK-501,Total Homeless,766
1/1/12,AK,AK-501,Unsheltered Chronically Homeless,11
1/1/12,AK,AK-501,Unsheltered Chronically Homeless Individuals,11
1/1/12,AK,AK-501,Unsheltered Chronically Homeless People in Families,0
1/1/12,AK,AK-501,Unsheltered Homeless,147
1/1/12,AK,AK-501,Unsheltered Homeless Individuals,106
1/1/12,AK,AK-501,Unsheltered Homeless People in Families,41
1/1/12,AK,AK-501,Unsheltered Homeless Veterans,22
1/1/12,AL,AL-500,Chronically Homeless,495
1/1/12,AL,AL-500,Chronically Homeless Individuals,484
1/1/12,AL,AL-500,Chronically Homeless People in Families,11
1/1/12,AL,AL-500,Homeless Individuals,"1,222"
1/1/12,AL,AL-500,Homeless People in Families,485
1/1/12,AL,AL-500,Homeless Veterans,175
1/1/12,AL,AL-500,Sheltered Chronically Homeless,140
1/1/12,AL,AL-500,Sheltered Chronically Homeless Individuals,137
1/1/12,AL,AL-500,Sheltered Chronically Homeless People in Families,3
1/1/12,AL,AL-500,Sheltered Homeless,"1,009"
1/1/12,AL,AL-500,Sheltered Homeless Individuals,673
1/1/12,AL,AL-500,Sheltered Homeless People in Families,336
1/1/12,AL,AL-500,Sheltered Homeless Veterans,117
1/1/12,AL,AL-500,Total Homeless,"1,707"
