,country,region,year1,year2,mpi_year1,mpi_year2,mpi_annualized_change,headcount_ratio_year1,headcount_ratio_year2,headcount_ratio_annualized_change,poverty_intensity_year1,poverty_intensity_year2,poverty_intensity_annualized_change,mpi_stat_sig,headcount_ratio_stat_sig,poverty_intensity_stat_sig,total_population_year1,total_population_year2,nb_poor_year1,nb_poor_year2
0,Bangladesh,Barisal,2004,2007,0.394052535295,0.328580826521,-0.0218239035457,70.6922531128,63.4114086628,-2.42694830894,55.7419657707,51.817303896,-1.30822062492,**,*,**,8866114,9225110,6267655,5849772
1,Bangladesh,Chittagong,2004,2007,0.377330154181,0.314115524292,-0.0210715439171,67.5894975662,60.7776641846,-2.27061128616,55.826741457,51.6827225685,-1.38133955002,**,*,***,27390076,29085980,18512814,17677779
2,Bangladesh,Dhaka,2004,2007,0.347243636847,0.301106899977,-0.0153789119795,64.7745192051,56.8391978741,-2.64510726929,53.6080598831,52.9752194881,-0.210946798325,**,**,,44005511,44833500,28504359,25483001
3,Bangladesh,Khulna,2004,2007,0.301796168089,0.260602623224,-0.0137311816216,59.5467031002,53.8750112057,-1.89056396484,50.682258606,48.3717113733,-0.77018237114,**,*,**,16668423,17546048,9925497,9452935
4,Bangladesh,Rajshahi,2004,2007,0.373827308416,0.292320132256,-0.0271690580994,70.3195154667,58.3956182003,-3.9746325016,53.1612455845,50.0585794449,-1.03422212601,***,***,***,34059859,34672742,23950728,20247362
5,Bangladesh,Sylhet,2004,2007,0.445901364088,0.396526128054,-0.0164584126323,74.5971977711,70.0264692307,-1.52357625961,59.7745478153,56.6251754761,-1.04979085922,,,**,10245059,11093686,7642527,7768516
6,Bangladesh,Barisal,2007,2011,0.328580826521,0.272092014551,-0.0141222029924,63.4114086628,55.5073261261,-1.97602057457,51.817303896,49.019113183,-0.69954764843,**,**,**,9225110,8827626,5849772,4899979
7,Bangladesh,Chittagong,2007,2011,0.314115524292,0.252499938011,-0.0154038965702,60.7776641846,50.6713330746,-2.5265827179,51.6827225685,49.8309224844,-0.462950021029,**,***,,29085980,29821949,17677779,15111179
8,Bangladesh,Dhaka,2007,2011,0.301106899977,0.234257102013,-0.016712449491,56.8391978741,46.2099015713,-2.6573240757,52.9752194881,50.6941318512,-0.570271909237,***,***,**,44833500,48337472,25483000,22336698
9,Bangladesh,Khulna,2007,2011,0.260602623224,0.188760355115,-0.0179605670273,53.8750112057,42.1150177717,-2.93999838829,48.3717113733,44.8202013969,-0.887877464294,***,***,***,17546048,17148531,9452935,7222106
10,Bangladesh,Rajshahi,2007,2011,0.292320132256,0.250544101,-0.0104440078139,58.3956182003,51.9760370255,-1.60489535332,50.0585794449,48.2037693262,-0.463702529669,***,**,**,34672742,38744074,20247361,20137634
11,Bangladesh,Sylhet,2007,2011,0.396526128054,0.324078112841,-0.0181120038033,70.0264692307,61.7711246014,-2.06383609772,56.6251754761,52.4643361568,-1.0402097702,**,*,***,11093686,9982742,7768516,6166452
12,Benin,Atacora,2001,2006,0.608310103416,0.556905210018,-0.0102809788659,91.9706761837,88.5967612267,-0.674782991409,66.1417484283,62.85841465,-0.656666755676,**,,**,953151,1054685,876619,934417
13,Benin,Atlantique,2001,2006,0.294160544872,0.254327833652,-0.00796654261649,54.7598958015,48.3354747295,-1.2848842144,53.7182509899,52.6172161102,-0.220206990838,**,**,,1465601,1681149,802561,812591
