Country Name,Country Code,Year,Value
Arab World,ARB,2017,310
Caribbean small states,CSS,2017,76
Central Europe and the Baltics,CEB,2017,133
Early-demographic dividend,EAR,2017,1727
East Asia & Pacific,EAS,2017,1166
East Asia & Pacific (excluding high income),EAP,2017,787
East Asia & Pacific (IDA & IBRD countries),TEA,2017,755
Euro area,EMU,2017,213
Europe & Central Asia,ECS,2017,678
Europe & Central Asia (excluding high income),ECA,2017,356
Europe & Central Asia (IDA & IBRD countries),TEC,2017,367
European Union,EUU,2017,325
Fragile and conflict affected situations,FCS,2017,590
Heavily indebted poor countries (HIPC),HPC,2017,764
High income,HIC,2017,1010
IBRD only,IBD,2017,2185
IDA & IBRD total,IBT,2017,3490
IDA blend,IDB,2017,265
IDA only,IDX,2017,1040
IDA total,IDA,2017,1305
Late-demographic dividend,LTE,2017,1253
Latin America & Caribbean,LCN,2017,1073
Latin America & Caribbean (excluding high income),LAC,2017,974
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,1022
Least developed countries: UN classification,LDC,2017,919
Low & middle income,LMY,2017,3466
Low income,LIC,2017,623
Lower middle income,LMC,2017,1296
Middle East & North Africa,MEA,2017,286
Middle East & North Africa (excluding high income),MNA,2017,193
Middle East & North Africa (IDA & IBRD countries),TMN,2017,178
Middle income,MIC,2017,2843
North America,NAC,2017,105
OECD members,OED,2017,724
Other small states,OSS,2017,274
Pacific island small states,PSS,2017,87
Post-demographic dividend,PST,2017,670
Pre-demographic dividend,PRE,2017,709
Small states,SST,2017,437
South Asia,SAS,2017,243
South Asia (IDA & IBRD),TSA,2017,243
Sub-Saharan Africa,SSF,2017,925
Sub-Saharan Africa (excluding high income),SSA,2017,913
Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,925
Upper middle income,UMC,2017,1547
World,WLD,2017,4584
Afghanistan,AFG,2017,16
Albania,ALB,2017,8
Algeria,DZA,2017,15
American Samoa,ASM,2017,8
Andorra,AND,2017,3
Angola,AGO,2017,31
Antigua and Barbuda,ATG,2017,2
Argentina,ARG,2017,52
Armenia,ARM,2017,14
Aruba,ABW,2017,1
Australia,AUS,2017,50
Austria,AUT,2017,13
Azerbaijan,AZE,2017,17
"Bahamas, The",BHS,2017,9
Bahrain,BHR,2017,7
Bangladesh,BGD,2017,35
Barbados,BRB,2017,3
Belarus,BLR,2017,9
Belgium,BEL,2017,8
Belize,BLZ,2017,5
Benin,BEN,2017,10
Bermuda,BMU,2017,2
Bhutan,BTN,2017,19
Bolivia,BOL,2017,55
Bosnia and Herzegovina,BIH,2017,7
Botswana,BWA,2017,15
Brazil,BRA,2017,172
British Virgin Islands,VGB,2017,2
Brunei Darussalam,BRN,2017,25
Bulgaria,BGR,2017,17
Burkina Faso,BFA,2017,10
Burundi,BDI,2017,14
Cabo Verde,CPV,2017,6
Cambodia,KHM,2017,28
Cameroon,CMR,2017,26
Canada,CAN,2017,21
