Country Name,Country Code,Year,Value
Arab World,ARB,2017,644
Caribbean small states,CSS,2017,429
Central Europe and the Baltics,CEB,2017,182
Early-demographic dividend,EAR,2017,2561
East Asia & Pacific,EAS,2017,1618
East Asia & Pacific (excluding high income),EAP,2017,1103
East Asia & Pacific (IDA & IBRD countries),TEA,2017,1095
Euro area,EMU,2017,525
Europe & Central Asia,ECS,2017,1223
Europe & Central Asia (excluding high income),ECA,2017,517
Europe & Central Asia (IDA & IBRD countries),TEC,2017,525
European Union,EUU,2017,732
Fragile and conflict affected situations,FCS,2017,1064
Heavily indebted poor countries (HIPC),HPC,2017,1695
High income,HIC,2017,2266
IBRD only,IBD,2017,3246
IDA & IBRD total,IBT,2017,5854
IDA blend,IDB,2017,614
IDA only,IDX,2017,1994
IDA total,IDA,2017,2608
Late-demographic dividend,LTE,2017,1764
Latin America & Caribbean,LCN,2017,1685
Latin America & Caribbean (excluding high income),LAC,2017,1189
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,1307
Least developed countries: UN classification,LDC,2017,1670
Low & middle income,LMY,2017,5715
Low income,LIC,2017,1192
Lower middle income,LMC,2017,2138
Middle East & North Africa,MEA,2017,644
Middle East & North Africa (excluding high income),MNA,2017,438
Middle East & North Africa (IDA & IBRD countries),TMN,2017,436
Middle income,MIC,2017,4523
North America,NAC,2017,320
OECD members,OED,2017,1558
Other small states,OSS,2017,545
Pacific island small states,PSS,2017,199
Post-demographic dividend,PST,2017,1438
Pre-demographic dividend,PRE,2017,1711
Small states,SST,2017,1173
South Asia,SAS,2017,398
South Asia (IDA & IBRD),TSA,2017,398
Sub-Saharan Africa,SSF,2017,2093
Sub-Saharan Africa (excluding high income),SSA,2017,2070
Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,2093
Upper middle income,UMC,2017,2385
World,WLD,2017,8233
Afghanistan,AFG,2017,5
Albania,ALB,2017,44
Algeria,DZA,2017,40
American Samoa,ASM,2017,12
Andorra,AND,2017,0
Angola,AGO,2017,52
Antigua and Barbuda,ATG,2017,30
Argentina,ARG,2017,41
Armenia,ARM,2017,3
Aruba,ABW,2017,23
Australia,AUS,2017,123
Austria,AUT,2017,11
Azerbaijan,AZE,2017,12
"Bahamas, The",BHS,2017,45
Bahrain,BHR,2017,13
Bangladesh,BGD,2017,29
Barbados,BRB,2017,30
Belarus,BLR,2017,2
Belgium,BEL,2017,13
Belize,BLZ,2017,44
Benin,BEN,2017,39
Bermuda,BMU,2017,26
Bhutan,BTN,2017,3
Bolivia,BOL,2017,8
Bosnia and Herzegovina,BIH,2017,35
Botswana,BWA,2017,2
Brazil,BRA,2017,90
British Virgin Islands,VGB,2017,29
Brunei Darussalam,BRN,2017,14
Bulgaria,BGR,2017,22
Burkina Faso,BFA,2017,4
Burundi,BDI,2017,17
Cabo Verde,CPV,2017,35
Cambodia,KHM,2017,49
Cameroon,CMR,2017,121
Canada,CAN,2017,43
Cayman Islands,CYM,2017,32
Central African Republic,CAF,2017,3
Chad,TCD,2017,1
Chile,CHL,2017,25
China,CHN,2017,134
Colombia,COL,2017,98
Comoros,COM,2017,10
"Congo, Dem. Rep.",COD,2017,94
"Congo, Rep.",COG,2017,57
Costa Rica,CRI,2017,62
Cote d'Ivoire,CIV,2017,58
Croatia,HRV,2017,64
Cuba,CUB,2017,45
Curacao,CUW,2017,28
Cyprus,CYP,2017,24
Czech Republic,CZE,2017,2
Denmark,DNK,2017,18
Djibouti,DJI,2017,20
Dominica,DMA,2017,30
Dominican Republic,DOM,2017,30
Ecuador,ECU,2017,61
"Egypt, Arab Rep.",EGY,2017,54
El Salvador,SLV,2017,16
Equatorial Guinea,GNQ,2017,44
Eritrea,ERI,2017,26
