Country Name,Country Code,Year,Value
Arab World,ARB,2017,249
Caribbean small states,CSS,2017,61
Central Europe and the Baltics,CEB,2017,51
Early-demographic dividend,EAR,2017,1394
East Asia & Pacific,EAS,2017,930
East Asia & Pacific (excluding high income),EAP,2017,736
East Asia & Pacific (IDA & IBRD countries),TEA,2017,729
Euro area,EMU,2017,100
Europe & Central Asia,ECS,2017,355
Europe & Central Asia (excluding high income),ECA,2017,198
Europe & Central Asia (IDA & IBRD countries),TEC,2017,203
European Union,EUU,2017,145
Fragile and conflict affected situations,FCS,2017,521
Heavily indebted poor countries (HIPC),HPC,2017,799
High income,HIC,2017,533
IBRD only,IBD,2017,1612
IDA & IBRD total,IBT,2017,2903
IDA blend,IDB,2017,248
IDA only,IDX,2017,1043
IDA total,IDA,2017,1291
Late-demographic dividend,LTE,2017,802
Latin America & Caribbean,LCN,2017,615
Latin America & Caribbean (excluding high income),LAC,2017,555
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,579
Least developed countries: UN classification,LDC,2017,949
Low & middle income,LMY,2017,2879
Low income,LIC,2017,648
Lower middle income,LMC,2017,1196
Middle East & North Africa,MEA,2017,232
Middle East & North Africa (excluding high income),MNA,2017,170
Middle East & North Africa (IDA & IBRD countries),TMN,2017,166
Middle income,MIC,2017,2231
North America,NAC,2017,54
OECD members,OED,2017,434
Other small states,OSS,2017,237
Pacific island small states,PSS,2017,49
Post-demographic dividend,PST,2017,340
Pre-demographic dividend,PRE,2017,803
Small states,SST,2017,347
South Asia,SAS,2017,255
South Asia (IDA & IBRD),TSA,2017,255
Sub-Saharan Africa,SSF,2017,971
Sub-Saharan Africa (excluding high income),SSA,2017,965
Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,971
Upper middle income,UMC,2017,1035
World,WLD,2017,3434
Afghanistan,AFG,2017,11
Albania,ALB,2017,3
Algeria,DZA,2017,14
American Samoa,ASM,2017,1
Andorra,AND,2017,2
Angola,AGO,2017,18
Antigua and Barbuda,ATG,2017,2
Argentina,ARG,2017,37
Armenia,ARM,2017,9
Aruba,ABW,2017,2
Australia,AUS,2017,63
Austria,AUT,2017,3
Azerbaijan,AZE,2017,8
"Bahamas, The",BHS,2017,6
Bahrain,BHR,2017,3
Bangladesh,BGD,2017,37
Barbados,BRB,2017,3
Belarus,BLR,2017,4
Belgium,BEL,2017,2
Belize,BLZ,2017,9
Benin,BEN,2017,14
Bermuda,BMU,2017,4
Bhutan,BTN,2017,25
Bolivia,BOL,2017,20
Bosnia and Herzegovina,BIH,2017,4
Botswana,BWA,2017,11
Brazil,BRA,2017,81
British Virgin Islands,VGB,2017,1
Brunei Darussalam,BRN,2017,33
Bulgaria,BGR,2017,8
Burkina Faso,BFA,2017,9
Burundi,BDI,2017,14
Cabo Verde,CPV,2017,4
Cambodia,KHM,2017,39
Cameroon,CMR,2017,47
