Country Name,Country Code,Year,Value
Arab World,ARB,2017,384
Caribbean small states,CSS,2017,399
Central Europe and the Baltics,CEB,2017,136
Early-demographic dividend,EAR,2017,6155
East Asia & Pacific,EAS,2017,3643
East Asia & Pacific (excluding high income),EAP,2017,2769
East Asia & Pacific (IDA & IBRD countries),TEA,2017,2755
Euro area,EMU,2017,640
Europe & Central Asia,ECS,2017,1241
Europe & Central Asia (excluding high income),ECA,2017,462
Europe & Central Asia (IDA & IBRD countries),TEC,2017,473
European Union,EUU,2017,791
Fragile and conflict affected situations,FCS,2017,1355
Heavily indebted poor countries (HIPC),HPC,2017,3553
High income,HIC,2017,2529
IBRD only,IBD,2017,8913
IDA & IBRD total,IBT,2017,13612
IDA blend,IDB,2017,1325
IDA only,IDX,2017,3374
IDA total,IDA,2017,4699
Late-demographic dividend,LTE,2017,4517
Latin America & Caribbean,LCN,2017,5227
Latin America & Caribbean (excluding high income),LAC,2017,4949
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,4920
Least developed countries: UN classification,LDC,2017,2908
Low & middle income,LMY,2017,13588
Low income,LIC,2017,2445
Lower middle income,LMC,2017,4292
Middle East & North Africa,MEA,2017,342
Middle East & North Africa (excluding high income),MNA,2017,306
Middle East & North Africa (IDA & IBRD countries),TMN,2017,300
Middle income,MIC,2017,11143
North America,NAC,2017,500
OECD members,OED,2017,2078
Other small states,OSS,2017,746
Pacific island small states,PSS,2017,119
Post-demographic dividend,PST,2017,1708
Pre-demographic dividend,PRE,2017,3534
Small states,SST,2017,1264
South Asia,SAS,2017,781
South Asia (IDA & IBRD),TSA,2017,781
Sub-Saharan Africa,SSF,2017,4383
Sub-Saharan Africa (excluding high income),SSA,2017,4321
Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,4383
Upper middle income,UMC,2017,6851
World,WLD,2017,15735
Afghanistan,AFG,2017,5
Albania,ALB,2017,1
Algeria,DZA,2017,20
American Samoa,ASM,2017,1
Andorra,AND,2017,0
Angola,AGO,2017,36
Antigua and Barbuda,ATG,2017,4
Argentina,ARG,2017,70
Armenia,ARM,2017,72
Aruba,ABW,2017,2
Australia,AUS,2017,99
Austria,AUT,2017,17
Azerbaijan,AZE,2017,42
"Bahamas, The",BHS,2017,7
Bahrain,BHR,2017,0
Bangladesh,BGD,2017,22
Barbados,BRB,2017,3
Belarus,BLR,2017,1
Belgium,BEL,2017,0
Belize,BLZ,2017,41
Benin,BEN,2017,19
Bermuda,BMU,2017,8
Bhutan,BTN,2017,43
Bolivia,BOL,2017,105
Bosnia and Herzegovina,BIH,2017,3
Botswana,BWA,2017,2
Brazil,BRA,2017,533
British Virgin Islands,VGB,2017,10
Brunei Darussalam,BRN,2017,111
Bulgaria,BGR,2017,9
Burkina Faso,BFA,2017,3
Burundi,BDI,2017,89
Cabo Verde,CPV,2017,51
Cambodia,KHM,2017,37
Cameroon,CMR,2017,535
Canada,CAN,2017,17
Cayman Islands,CYM,2017,22
Central African Republic,CAF,2017,24
Chad,TCD,2017,6
Chile,CHL,2017,72
China,CHN,2017,574
Colombia,COL,2017,259
Comoros,COM,2017,9
"Congo, Dem. Rep.",COD,2017,149
"Congo, Rep.",COG,2017,46
Costa Rica,CRI,2017,143
Cote d'Ivoire,CIV,2017,117
Croatia,HRV,2017,8
Cuba,CUB,2017,179
Curacao,CUW,2017,2
Cyprus,CYP,2017,21
Czech Republic,CZE,2017,26
Denmark,DNK,2017,1
Djibouti,DJI,2017,3
Dominica,DMA,2017,11
Dominican Republic,DOM,2017,41
Ecuador,ECU,2017,1857
"Egypt, Arab Rep.",EGY,2017,8
El Salvador,SLV,2017,30
Equatorial Guinea,GNQ,2017,88
Eritrea,ERI,2017,5
Estonia,EST,2017,0
Ethiopia,ETH,2017,47
Faroe Islands,FRO,2017,0
Fiji,FJI,2017,77
Finland,FIN,2017,2
France,FRA,2017,42
French Polynesia,PYF,2017,48
Gabon,GAB,2017,167
"Gambia, The",GMB,2017,5
Georgia,GEO,2017,61
Germany,DEU,2017,36
Ghana,GHA,2017,119
Gibraltar,GIB,2017,0
Greece,GRC,2017,66
Greenland,GRL,2017,1
Grenada,GRD,2017,3
Guam,GUM,2017,4
Guatemala,GTM,2017,111
Guinea,GIN,2017,59
Guinea-Bissau,GNB,2017,5
Guyana,GUY,2017,26
Haiti,HTI,2017,41
