year,median,min,max,p10,p90
1950,15.273,14.037,16.764,14.257,16.067
1951,15.655,13.696,17.197,13.762,16.870
1952,15.033,13.075,17.252,14.096,16.988
1953,15.084,13.809,16.313,14.086,16.191
1954,14.773,12.753,17.424,13.879,15.396
1955,14.581,12.627,16.370,13.747,15.870
1956,15.255,13.082,16.371,13.788,15.941
1957,15.228,12.814,16.301,13.899,16.194
1958,15.234,12.785,16.172,13.091,16.040
1959,14.439,13.063,17.024,14.048,15.787
1960,15.017,12.638,17.918,13.795,16.958
1961,14.969,13.348,17.269,13.803,16.733
1962,14.879,13.587,16.998,13.907,15.595
1963,14.498,11.509,16.064,13.680,15.920
1964,14.206,11.481,16.791,13.006,15.337
1965,14.344,12.791,16.408,13.012,15.577
1966,14.709,13.177,16.601,13.852,15.725
1967,15.234,13.540,16.499,13.953,16.194
1968,14.270,12.699,16.331,13.430,15.656
1969,14.518,12.438,16.768,13.356,15.691
1970,14.547,13.314,16.667,13.457,15.953
1971,14.580,12.697,16.389,13.405,16.018
1972,14.976,12.867,16.389,14.175,16.184
1973,15.276,14.015,16.961,14.222,16.596
1974,14.757,13.112,16.353,14.054,15.756
1975,14.620,13.164,16.766,13.765,15.732
1976,14.281,12.974,16.513,13.215,15.107
1977,14.818,13.431,16.253,13.862,16.160
1978,15.075,13.053,16.192,14.384,15.950
1979,15.589,13.030,16.883,14.375,16.739
1980,15.223,13.931,16.974,14.182,16.183
1981,15.898,13.252,17.178,14.491,16.612
1982,14.862,13.060,17.119,13.608,16.206
1983,14.396,12.661,15.471,13.648,15.272
1984,14.899,13.782,16.989,13.946,16.349
1985,14.555,13.415,17.311,13.799,16.269
1986,15.292,14.126,16.888,14.506,16.485
1987,15.117,13.257,16.321,14.103,15.994
1988,14.795,12.413,15.905,14.395,15.792
1989,15.420,13.680,16.922,14.238,16.239
1990,14.807,13.137,15.948,13.768,15.894
1991,15.770,14.631,17.399,14.981,16.696
1992,14.208,12.429,16.483,13.457,15.922
1993,14.983,13.346,17.447,13.797,16.465
1994,15.785,13.693,16.856,14.877,16.450
1995,15.333,14.126,18.587,14.535,16.810
1996,15.576,14.122,17.827,14.579,17.321
1997,15.541,13.805,17.838,14.236,16.878
1998,15.921,14.067,17.332,14.485,16.997
1999,15.740,14.380,16.776,14.783,16.660
2000,15.854,14.733,17.781,15.057,17.330
2001,15.222,13.607,17.175,14.237,16.600
2002,15.940,13.238,17.880,14.792,17.818
2003,16.026,14.840,17.996,15.085,17.413
2004,15.399,12.690,18.592,14.869,17.262
2005,15.940,14.122,17.887,14.461,17.123
