year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,16.054,13.722,17.739,14.547,17.299,15.993,15.196,16.763,15.380,16.499
2007,16.294,14.774,18.748,15.709,18.015,16.008,15.020,18.124,15.331,17.706
2008,16.096,13.829,18.439,14.176,17.276,16.079,13.434,18.786,15.272,17.651
2009,16.044,14.559,18.600,14.918,17.821,15.880,14.399,17.495,14.527,17.386
2010,15.900,14.857,17.125,15.195,16.818,15.869,14.407,17.993,14.626,17.561
2011,15.984,15.206,18.108,15.345,17.297,16.442,13.771,18.440,14.711,17.599
2012,16.180,14.548,18.327,14.862,17.761,16.708,15.264,19.041,15.584,18.406
2013,16.511,13.831,18.110,14.785,17.850,16.258,14.938,18.537,15.271,18.081
2014,16.653,15.352,18.991,15.493,18.324,16.628,15.083,19.224,15.107,18.239
2015,16.466,14.572,17.390,15.040,17.326,15.905,14.238,18.791,14.667,17.220
2016,16.036,14.349,18.582,15.387,17.265,16.818,14.462,18.465,15.051,17.698
2017,16.343,14.267,18.913,15.337,17.243,15.901,13.743,18.914,14.203,17.449
2018,16.496,14.556,18.111,14.818,17.118,16.360,14.162,19.790,14.941,18.232
2019,16.456,15.401,19.083,15.448,17.898,16.812,15.644,18.759,15.941,18.524
2020,16.632,14.974,19.236,15.272,17.870,17.352,15.345,18.640,15.642,18.141
2021,16.759,15.394,17.770,15.616,17.375,16.680,14.636,18.890,15.247,18.212
2022,16.630,13.594,17.862,15.685,17.513,16.490,14.491,18.805,15.167,18.371
2023,16.841,13.683,19.393,15.639,18.027,16.738,15.071,18.842,15.437,18.370
2024,16.878,14.336,18.274,15.717,18.074,17.080,15.819,19.047,16.274,18.324
2025,16.900,14.916,18.814,15.316,18.141,16.675,15.080,18.746,15.322,18.386
2026,17.038,15.356,18.561,16.056,18.351,16.830,15.026,17.958,15.624,17.608
2027,16.704,14.630,18.681,15.973,17.965,16.572,14.659,18.559,15.717,18.038
2028,17.275,15.305,18.254,15.987,17.820,17.061,14.631,18.377,15.721,18.192
2029,17.162,14.789,18.450,15.575,18.201,17.082,15.200,19.334,15.963,18.169
2030,17.115,14.772,19.408,15.360,18.606,17.842,14.885,19.115,16.392,18.591
2031,16.700,14.435,18.465,15.643,17.909,17.129,14.776,19.360,16.064,18.994
2032,16.626,15.154,18.954,15.563,18.857,17.063,14.863,18.314,15.970,18.263
2033,17.440,15.943,19.462,16.326,18.574,17.435,15.319,20.415,15.840,18.937
2034,17.418,15.243,19.447,15.713,18.344,17.825,14.908,18.795,16.111,18.326
2035,17.166,14.477,19.311,16.379,18.655,17.567,15.767,18.885,16.016,18.635
2036,17.469,14.022,19.406,15.707,18.990,17.558,14.768,19.663,16.008,19.199
2037,17.006,14.899,18.824,15.258,18.085,17.692,15.345,19.474,15.948,18.782
2038,18.073,16.019,18.976,16.199,18.403,17.857,15.405,19.774,16.438,19.327
2039,17.524,15.411,20.307,15.821,18.714,17.729,15.447,19.629,16.390,19.332
2040,17.290,15.131,19.334,15.913,19.100,17.773,15.989,19.533,16.740,18.773
2041,17.858,15.577,18.832,16.006,18.456,17.917,15.874,19.401,16.525,18.979
2042,17.509,15.326,20.125,15.743,18.805,17.936,16.843,19.780,17.091,19.459
2043,17.298,15.167,19.557,16.026,18.962,18.376,16.633,20.300,16.999,19.404
2044,17.140,15.976,19.414,16.384,17.827,18.294,15.977,19.982,16.188,19.549
2045,18.418,16.354,19.312,16.817,19.222,18.187,16.344,20.245,16.787,19.786
2046,18.267,15.918,20.474,16.785,19.461,18.314,15.826,19.635,16.901,19.319
2047,17.991,15.960,20.147,16.461,19.153,18.456,15.787,19.996,16.959,19.061
2048,18.020,15.940,19.879,16.126,18.636,18.716,15.218,20.631,17.294,20.166
2049,17.862,14.850,20.467,16.450,19.262,19.077,16.304,21.612,17.043,19.739
2050,18.050,15.385,20.101,16.018,19.580,18.940,17.030,20.934,17.472,20.223
2051,17.489,16.193,19.065,16.990,18.802,18.613,15.690,20.921,16.726,19.557
2052,18.321,15.776,20.169,16.406,19.684,18.561,16.595,20.425,16.809,19.526
2053,18.315,15.842,19.289,16.018,19.064,18.638,17.242,20.880,17.401,20.215
2054,17.765,16.372,20.956,16.462,19.807,19.150,16.710,21.699,16.960,20.100
2055,18.294,16.422,20.379,16.437,19.246,19.004,15.268,20.797,16.963,20.087
2056,18.352,15.750,19.616,16.751,19.401,19.026,16.397,20.927,17.699,20.214
2057,18.422,15.861,20.977,16.535,20.508,19.070,15.948,20.587,16.993,19.943
2058,18.300,16.251,20.110,16.455,20.033,19.458,17.168,20.914,17.504,20.646
2059,18.226,15.680,20.404,15.943,19.940,19.230,17.533,22.008,17.828,20.235
2060,17.706,15.163,20.484,16.221,19.249,19.013,16.046,21.086,17.056,20.769
2061,17.926,16.599,19.594,16.829,19.534,19.483,17.130,21.236,17.759,20.967
2062,18.455,16.356,20.599,17.346,19.702,19.097,17.591,21.208,17.746,21.033
2063,18.217,15.074,20.314,16.537,19.660,19.625,17.128,21.296,17.782,20.837
2064,18.429,15.567,20.846,15.974,19.680,19.699,16.607,22.285,18.111,20.990
2065,18.268,15.636,20.830,16.548,20.126,19.845,16.870,21.770,17.980,21.191
2066,18.158,16.632,20.712,16.867,19.980,19.343,17.547,22.126,17.942,21.595
2067,18.637,15.032,21.410,16.065,20.535,19.537,16.213,21.503,17.268,21.013
2068,18.326,15.101,20.619,16.147,19.947,19.862,17.443,22.000,18.869,21.339
2069,18.188,14.970,21.382,17.093,20.439,20.391,17.109,22.172,18.911,21.206
2070,18.325,15.467,19.891,16.574,19.558,20.151,16.801,22.404,18.097,21.779
2071,18.597,16.670,20.289,17.310,19.804,19.997,17.164,22.352,18.772,20.883
2072,18.800,16.612,19.698,17.311,19.585,20.116,17.276,22.536,17.775,21.702
2073,18.520,14.531,20.521,17.159,19.696,19.993,18.271,22.344,19.134,21.860
2074,18.435,16.601,20.384,17.050,19.362,20.136,17.334,22.892,18.124,22.358
2075,18.458,16.390,19.861,17.164,19.765,20.140,16.529,22.771,17.915,22.013
2076,18.748,16.216,21.095,17.137,20.016,20.785,16.605,22.788,18.699,22.288
2077,18.758,16.622,20.494,17.514,20.013,20.547,16.667,22.935,18.693,22.269
2078,18.747,15.915,20.442,16.739,20.265,20.675,17.390,22.911,18.843,22.053
2079,18.571,14.911,21.239,16.332,20.410,20.722,17.724,22.542,18.978,22.076
2080,18.461,16.130,20.605,16.697,19.832,20.648,17.827,22.980,18.716,22.568
2081,18.588,15.814,20.413,16.821,19.892,20.899,16.961,23.116,18.959,22.747
2082,19.310,16.311,20.966,17.354,20.369,21.061,17.603,23.399,19.268,22.667
2083,19.144,16.428,20.869,17.183,20.187,20.842,17.828,22.298,19.661,22.135
2084,18.821,15.984,20.745,17.363,20.359,20.371,16.509,23.283,19.036,22.262
2085,18.394,16.928,21.194,17.419,20.465,21.102,17.932,24.269,18.472,22.880
2086,18.326,16.465,20.580,17.360,19.785,20.756,18.205,23.632,19.071,22.684
2087,18.478,14.988,21.100,16.662,19.841,20.978,18.453,25.039,19.637,23.412
2088,18.306,14.994,19.975,16.560,19.813,21.563,17.898,24.852,19.464,23.719
2089,18.291,16.108,21.156,17.098,19.942,21.498,17.133,23.918,18.895,23.432
2090,18.522,15.816,21.305,16.681,20.390,21.547,18.180,25.190,19.568,22.712
2091,18.348,16.052,20.016,17.551,19.520,21.555,19.168,24.586,19.737,23.507
2092,19.059,15.564,21.613,17.702,20.287,21.107,17.974,24.253,19.177,23.298
2093,19.089,16.800,20.331,17.364,20.162,21.837,19.045,24.228,19.382,23.369
2094,18.930,16.117,21.453,17.089,19.911,21.726,18.706,25.103,19.916,24.236
2095,18.435,16.911,21.214,17.222,20.823,21.435,18.117,24.727,19.757,23.066
2096,18.253,16.315,21.700,16.588,20.592,21.745,18.461,24.915,20.153,23.808
2097,19.012,16.152,20.657,16.585,20.508,22.074,17.985,24.191,19.845,23.747
2098,18.880,15.730,20.984,16.742,20.019,22.124,18.082,25.117,19.449,23.907
2099,18.785,17.448,20.875,17.632,20.348,21.523,19.101,25.309,20.295,24.207
