NameUnit,Manager,County,idAdminB,pavedBikeTrail,fishing,hiking,running,paddling,sailing,waterski,discgolf,horseshoe,wildlifeViewing,playground,rockClimbing,swimming,horsebackRiding,mountainBiking,shootingSports,golf,camping,walking,geocaching,picnic,windsurfing,interpretiveprograms,iceFishing,sledding,hunting,iceSkating,trapping,xcSkiing,canoeing,kayaking,paddleBoating,interpretiveTrail
Big Creek State Park,DNR - Parks,Polk,173,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0
Walnut Woods State Park,DNR - Parks,Polk,217,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
Beaver Creek Greenbelt,Polk CCB,Polk,2104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Creek WMA,DNR - Wildlife,Polk,2144,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,
Big Creek WMA - Butch Olofson Shooting Range,Private,Polk,2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown's Woods,Polk CCB,Polk,2272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Carney Marsh,Polk CCB,Polk,2357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chichaqua Bottoms Greenbelt,Polk CCB,Polk,2419,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0
Chichaqua Bottoms WMA,Polk CCB,Polk,2420,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0
Chichaqua Bottoms WMA - Coffin Woods Unit,DNR - Wildlife,Polk,2421,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,
Chichaqua Valley Trail,Polk CCB,Polk,2422,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Easter Lake Park,Polk CCB,Polk,2700,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Engeldinger Marsh,Polk CCB,Polk,2742,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Fort Des Moines Park,Polk CCB,Polk,2827,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Four Mile Creek Greenbelt,Polk CCB,Polk,2832,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gay Lea Wilson Trail,Polk CCB,Polk,2878,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Great Western Trail,Polk CCB,Polk,2941,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
High Trestle Trail,Polk CCB,Polk,3079,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Jester Park,Polk CCB,Polk,3266,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0
Mally's Weh-Weh-Neh-Kee Park,Polk CCB,Polk,3553,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Margo Frankel Woods State Park,Saylor Township,Polk,3570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Errington Marsh WMA,DNR - Wildlife,Polk,3906,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,
Paul Errington Marsh WPA,DNR - Wildlife,Polk,3907,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,
Polk City Refuge,DNR - Wildlife,Polk,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Rock WMA,DNR - Wildlife,Polk,4072,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,
Saylorville Lake,Army Corps of Engineers,Polk,4234,1,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,
Saylorville Minipark,Polk CCB,Polk,4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saylorville WMA,DNR - Wildlife,Polk,4236,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,
Strasser Woods State Preserve,DNR - Wildlife,Polk,4453,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Thomas Mitchell Park,Polk CCB,Polk,4515,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
US Highway 65 WMA,Polk CCB,Polk,4614,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Banks,Polk CCB,Polk,4894,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Raccoon River Park,City of West Des Moines,Polk,4931,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
