App.,Class,Order,Family,Genus,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
I,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MW,,34.8,specimens,l,S,W
I,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MW,,20,specimens,ml,S,W
I,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MW,,120,specimens,,S,W
I,Aves,Falconiformes,Falconidae,Falco,SI,AE,1,,live,,T,C
I,Aves,Falconiformes,Falconidae,Falco,SI,AE,2,,live,,T,C
I,Aves,Falconiformes,Falconidae,Falco,SI,AE,1,,live,,T,D
I,Mammalia,Carnivora,Felidae,Acinonyx,BG,NA,1,,trophies,,H,W
I,Mammalia,Carnivora,Felidae,Acinonyx,MW,ZA,14,,live,,N,W
I,Mammalia,Carnivora,Felidae,Panthera,BG,ZW,0,,trophies,,H,W
I,Mammalia,Primates,Hominidae,Gorilla,CZ,RW,,52,specimens,g,S,W
I,Mammalia,Primates,Hominidae,Gorilla,KE,RW,,0.5,specimens,ml,S,W
I,Mammalia,Primates,Hominidae,Gorilla,US,RW,,4901,specimens,g,S,W
I,Mammalia,Primates,Hominidae,Gorilla,US,RW,,4.8,specimens,ml,S,W
I,Mammalia,Primates,Hominidae,Pan,KE,RW,,0.5,specimens,ml,S,W
I,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,RW,ZA,18,,live,,N,R
II,Aves,Falconiformes,Accipitridae,Accipiter,RS,HR,1,,live,,T,C
II,Aves,Falconiformes,Accipitridae,Accipiter,RS,RO,2,,live,,T,C
II,Aves,Falconiformes,Accipitridae,,RS,SK,1,,live,,T,C
II,Aves,Falconiformes,Accipitridae,Busarellus,US,PE,,4,specimens,,S,W
II,Aves,Falconiformes,Accipitridae,Buteo,US,PE,,4,specimens,,S,W
II,Aves,Falconiformes,Accipitridae,Leucopternis,US,PE,,4,specimens,,S,W
II,Aves,Falconiformes,Accipitridae,Spizaetus,US,PE,,1,live,,T,C
II,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,BG,,22.195,caviar,kg,T,C
II,Actinopteri,Acipenseriformes,Acipenseridae,Huso,CH,BG,,3.69,caviar,kg,T,C
II,Reptilia,Crocodylia,Alligatoridae,Alligator,CH,MO,,2,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,CH,RS,,5,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,MO,,2,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MG,FR,1566,,skin pieces,,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,AU,3,,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,BE,2,,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,CH,6,,leather products (small),,T,C
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,CH,2,,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,FR,5,,jewellery,,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,FR,32,,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,GB,1,,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,IT,3,,leather products (large),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,IT,19,,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,AT,1,,leather products (small),,T,C
II,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,CH,19,,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,NL,1,,leather products (small),,T,W
II,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,US,62,,specimens,,T,W
