Year,Men,Women,NB,Heterosexuals,Gay Men,Lesbian,Bi Men,Bi Women,Total Bi,Transmen,Transwomen,Total Trans
2006,387,292,0,676,16,4,0,0,0,1,0,1
2007,374,276,0,630,14,2,1,1,2,0,2,2
2008,354,262,0,581,23,4,1,5,6,0,2,2
2009,345,255,0,582,11,1,0,4,4,0,0,0
2010,345,242,0,565,14,5,0,7,7,0,0,0
2011,369,278,0,628,20,5,2,6,8,0,0,0
2012,389,312,0,670,30,10,2,7,9,0,1,1
2013,455,341,0,771,21,14,2,8,10,0,1,1
2014,489,324,0,781,35,18,2,10,12,0,0,0
2015,502,379,0,846,33,23,2,12,14,0,0,0
2016,501,393,0,854,35,12,5,16,21,0,3,3
2017,514,387,1,844,40,21,6,16,22,2,1,4
